,NAME,LATITUDE,LONGITUDE,VICINITY,CLOTHING,FOOD,HOUSEHOLD GOODS,HOUSING,TRAINING AND OTHER SERVICES,NOTES,WEBSITE
0,412 Food Rescue,40.462826,-79.92193739999999,"6140 Station St, Pittsburgh",,1.0,,,,,http://www.412foodrescue.org/
1,5480 Black St,40.4694647,-79.93004789999999,"Black St #5480, Pittsburgh",,1.0,,,,,https://www.jamesstsensory.org/
2,A Childs Wardrobe and adults too!,40.4322063,-79.9232648,"2200 Murray Ave, Pittsburgh",1.0,,,,,,http://www.achildswardrobe.com/
3,A Giving Heart,40.4199218,-79.99291219999999,"816 Climax St, Pittsburgh",,,,1.0,,,http://www.agivingheart.org/
4,ABC Staffing LLC,40.4383265,-79.99907689999999,"One Oxford Centre, 301 Grant St Suite 270, Pittsburgh",,,,,1.0,,https://www.abcstaffingpgh.com/
5,AHEDD,40.427858,-79.9893397,"900 Sarah St #202, Pittsburgh",,,,,1.0,,http://www.ahedd.org/
6,Abiding Missions,40.422965,-79.99463,"731 Excelsior St, Pittsburgh",,1.0,,1.0,,,http://abidingmissions.org/
7,Abraxas Youth & Family Services,40.456914,-79.973602,"2840 Liberty Ave # 300, Pittsburgh",,,,1.0,,,https://abraxasyfs.com/
8,Action Housing Inc,40.441444,-79.996498,"611 William Penn Pl #800, Pittsburgh",,,,1.0,,,http://www.actionhousing.org/
9,Aerotek,40.4279305,-79.81128230000002,"400 Penn Center Blvd Suite 211, Pittsburgh",,,,,1.0,,https://www.aerotek.com/en/locations/united-states/pennsylvania/pittsburgh-east?ecid=ls_aero_mozbizlist_160802_123614
10,Aerotek,40.430822,-80.12672239999999,"8 Penn Center Blvd Suite 101, Pittsburgh",,,,,1.0,,https://www.aerotek.com/en/locations/united-states/pennsylvania/pittsburgh?ecid=ls_aero_mozbizlist_160802_123613
11,African Healing Garden,40.4637597,-79.9130181,Pittsburgh,,1.0,,,,,https://www.africanhealinggarden.org/
12,African-American Collection,40.4426031,-79.9541564,"3960 Forbes Ave # 102A, Pittsburgh",,,,,1.0,,
13,Aldama's Closet,40.4978303,-80.0535446,"481 Dawson Ave, Pittsburgh",1.0,,,,,,
14,Allegheny Abused Animal Relief Fund,40.4424701,-80.0009554,"625 Liberty Ave, Pittsburgh",,,,1.0,,,
15,Allegheny Cemetery,40.474972,-79.957413,"4734 Butler St, Pittsburgh",,1.0,,,,,http://www.alleghenycemetery.com/
16,Allegheny Commons Community Gardens,40.450938,-80.0021118,"300 Stockton Ave, Pittsburgh",,1.0,,,,,https://www.ioby.org/project/allegheny-commons-community-garden
17,Allegheny County Assistance Office,40.4409134,-79.9995878,"301 Fifth Ave #470, Pittsburgh",,1.0,,,,,http://www.alleghenycounty.us/
18,Allegheny County Assistance Office - Greater Pittsburgh East,40.4618572,-79.9252604,"5947 Penn Ave, Pittsburgh",,1.0,,,,,http://www.dhs.pa.gov/
19,Allegheny County Assistance Office - Institution Related Eligibility,40.4409137,-79.99958989999999,"301 Fifth Ave, Pittsburgh",,1.0,,,,,http://www.dhs.pa.gov/
20,Allegheny County Assistance Office - Three Rivers District,40.4397934,-79.9997585,"342 Fifth Ave, Pittsburgh",,1.0,,,,,http://www.dhs.pa.gov/
21,Allegheny County Assistance Office Liberty District,40.4401692,-79.99947089999999,"332 Fifth Ave #300, Pittsburgh",,1.0,,,,,http://www.dhs.pa.gov/
22,Allegheny County CYF Administrative Offices,40.4371058,-80.0010221,"1 Smithfield St #400, Pittsburgh",,,,1.0,,,"http://alleghenycounty.us/Human-Services/About/Offices/Children,-Youth-and-Families.aspx"
23,"Allegheny County Children, Youth and Families: Central Regional Office",40.4379006,-79.9863704,"1401 Forbes Ave, Pittsburgh",,,,1.0,,,http://alleghenycounty.us/Human-Services/Programs-Services/Children-Families/Child-Protection.aspx
24,"Allegheny County Children, Youth and Families: South Regional Office",40.430031,-79.975396,"2100 Wharton St #100, Pittsburgh",,,,1.0,,,http://alleghenycounty.us/Human-Services/Programs-Services/Children-Families/Child-Protection.aspx
25,Allegheny County Human Services,40.4371183,-80.0010428,"1 Smithfield St, Pittsburgh",,1.0,,,,,http://www.alleghenycounty.us/human-services
26,Allegheny County Human Services,40.4389085,-80.00123599999999,"304 Wood St, Pittsburgh",,1.0,,,,,https://www.alleghenycounty.us/human-services/index.aspx
27,Allegheny County Library Association,40.4528445,-80.0293854,"1301 Beaver Ave # 101, Pittsburgh",,,,,1.0,,http://www.aclalibraries.org/
28,Allegiance Staffing,40.4204403,-80.0467348,"950 Greentree Rd #302, Pittsburgh",,,,,1.0,,http://www.allegiancestaffing.com/
29,Allendale Acres Community Garden,40.4554151,-80.0607557,Pittsburgh,,1.0,,,,,http://pittsburghurbangardens.com/allendale-acres-community-garden
30,Allure,40.4614559,-79.9489423,"4730 Liberty Ave, Pittsburgh",1.0,,,,,,http://www.allure4me.com/
31,Amvets,40.4435484,-79.9944514,"1000 Liberty Ave #1605, Pittsburgh",1.0,,,,,,http://amvets.org/
32,Amvets,40.429784,-80.0537772,"2226 Noblestown Rd, Pittsburgh",1.0,,,,,,https://amvets.org/
33,Anderson Shelter,40.4354818,-79.947908,Pittsburgh,,,,1.0,,,http://www.pittsburghparks.org/schenley
34,Animal Advocates Inc,40.440583,-80.034447,"35 Wabash St, Pittsburgh",,,,1.0,,,http://animaladvocates.net/
35,Animal Friends,40.5218665,-80.0796451,"562 Camp Horne Rd, Pittsburgh",,,,1.0,,,http://www.thinkingoutsidethecage.org/
36,Animal Full Life Rescue,40.4369019,-79.88370689999999,"906 Ramsey St, Pittsburgh",,,,1.0,,,https://www.aflr.org/contact-us
37,Ann's Market,40.44836,-79.975263,"2316 Webster Ave, Pittsburgh",,1.0,,,,,
38,AppleOne Employment Services,40.4287384,-80.12365319999999,"2 Penn Center Blvd #210, Pittsburgh",,,,,1.0,,http://www.appleone.com/
39,Arbor Career Center,40.4414408,-79.99667389999999,"425 Sixth Ave #2000, Pittsburgh",,,,,1.0,,
40,Atrium,40.4424717,-80.0007998,"625 Liberty Ave #200, Pittsburgh",,,,,1.0,,https://www.atriumstaff.com/?utm_source=GMB&utm_medium=organic&utm_campaign=PITT_listing
41,Auberle 412 Youth Zone,40.4389815,-80.0014103,"304 Wood St, Pittsburgh",,,,1.0,,,https://www.auberle.org/the-412-youth-zone
42,Avalon Exchange,40.4379023,-79.9215565,"5834 Forbes Ave, Pittsburgh",1.0,,,,,,http://www.avalonexchange.com/
43,BGC Activity Center,40.465224,-79.940089,"113 N Pacific Ave, Pittsburgh",,,,,1.0,,https://bloomfield-garfield.org/other-projects/activity-center/
44,Ballfield Farm,40.4690014,-80.0165495,"Crispen St, Pittsburgh",,1.0,,,,,http://www.ballfieldfarm.com/
45,Bandi Schaum Community Garden,40.4227835,-79.975396,Pittsburgh,,1.0,,,,,
46,Bartlett Shelter,40.4334705,-79.93591719999999,"Bartlett St, Pittsburgh",,,,1.0,,,
47,Bay Foods distribution center,40.4420518,-80.0213624,"1600 W Carson St, Pittsburgh",,1.0,,,,,
